Unnamed: 0;genre;track_id;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;uri;track_href;analysis_url;duration_ms;time_signature
1101;groove;5gf86Yzmvs5Xk45iGE10hc;0.761;0.923;9;-2.452;1;0.0855;0.0605;0;0.097;0.888;109.143;audio_features;5gf86Yzmvs5Xk45iGE10hc;spotify:track:5gf86Yzmvs5Xk45iGE10hc;https://api.spotify.com/v1/tracks/5gf86Yzmvs5Xk45iGE10hc;https://api.spotify.com/v1/audio-analysis/5gf86Yzmvs5Xk45iGE10hc;195333;4
1102;groove;2hJcizTwZRdosMbJddndbU;0.756;0.343;11;-10.436;0;0.0299;0.62;0;0.0698;0.564;103.387;audio_features;2hJcizTwZRdosMbJddndbU;spotify:track:2hJcizTwZRdosMbJddndbU;https://api.spotify.com/v1/tracks/2hJcizTwZRdosMbJddndbU;https://api.spotify.com/v1/audio-analysis/2hJcizTwZRdosMbJddndbU;161413;4
1103;groove;4oW8Mpqny63KzGi0rES7uI;0.639;0.485;5;-7.2;0;0.0245;0.12;0;0.0794;0.496;74.86;audio_features;4oW8Mpqny63KzGi0rES7uI;spotify:track:4oW8Mpqny63KzGi0rES7uI;https://api.spotify.com/v1/tracks/4oW8Mpqny63KzGi0rES7uI;https://api.spotify.com/v1/audio-analysis/4oW8Mpqny63KzGi0rES7uI;349640;3
1104;groove;2YrB178PD0LrmFh17RSAdX;0.543;0.93;1;-6.349;1;0.154;0.00094;0.000231;0.994;0.452;98.933;audio_features;2YrB178PD0LrmFh17RSAdX;spotify:track:2YrB178PD0LrmFh17RSAdX;https://api.spotify.com/v1/tracks/2YrB178PD0LrmFh17RSAdX;https://api.spotify.com/v1/audio-analysis/2YrB178PD0LrmFh17RSAdX;319332;4
1105;groove;4HEm31NkNS90o5jIwgDEH9;0.559;0.259;9;-13.534;0;0.0322;0.523;1.33E-06;0.167;0.0622;62.184;audio_features;4HEm31NkNS90o5jIwgDEH9;spotify:track:4HEm31NkNS90o5jIwgDEH9;https://api.spotify.com/v1/tracks/4HEm31NkNS90o5jIwgDEH9;https://api.spotify.com/v1/audio-analysis/4HEm31NkNS90o5jIwgDEH9;248880;4
1106;groove;5l1RLE94Y7nrowPN5LvAci;0.607;0.794;0;-5.156;1;0.0491;0.1;0;0.0815;0.821;81.326;audio_features;5l1RLE94Y7nrowPN5LvAci;spotify:track:5l1RLE94Y7nrowPN5LvAci;https://api.spotify.com/v1/tracks/5l1RLE94Y7nrowPN5LvAci;https://api.spotify.com/v1/audio-analysis/5l1RLE94Y7nrowPN5LvAci;231440;4
1107;groove;7bu1u6BGrhKfyUkVXql7ie;0.871;0.745;11;-5.917;0;0.0834;0.00334;0.000567;0.0969;0.841;133.332;audio_features;7bu1u6BGrhKfyUkVXql7ie;spotify:track:7bu1u6BGrhKfyUkVXql7ie;https://api.spotify.com/v1/tracks/7bu1u6BGrhKfyUkVXql7ie;https://api.spotify.com/v1/audio-analysis/7bu1u6BGrhKfyUkVXql7ie;255080;4
1108;groove;7Bp898e0U9IReLs2oKC7G4;0.705;0.51;8;-15.322;1;0.0428;0.323;0;0.094;0.894;125.468;audio_features;7Bp898e0U9IReLs2oKC7G4;spotify:track:7Bp898e0U9IReLs2oKC7G4;https://api.spotify.com/v1/tracks/7Bp898e0U9IReLs2oKC7G4;https://api.spotify.com/v1/audio-analysis/7Bp898e0U9IReLs2oKC7G4;217093;4
1109;groove;7JUZDQRGyMElJXjmcNayjx;0.571;0.503;2;-6.444;1;0.0238;0.131;0;0.0876;0.213;142.564;audio_features;7JUZDQRGyMElJXjmcNayjx;spotify:track:7JUZDQRGyMElJXjmcNayjx;https://api.spotify.com/v1/tracks/7JUZDQRGyMElJXjmcNayjx;https://api.spotify.com/v1/audio-analysis/7JUZDQRGyMElJXjmcNayjx;244800;3
1110;groove;3kkeQ4438JJmbvqsRLLCFp;0.819;0.504;0;-6.561;1;0.0411;0.115;0.000176;0.0388;0.964;114.932;audio_features;3kkeQ4438JJmbvqsRLLCFp;spotify:track:3kkeQ4438JJmbvqsRLLCFp;https://api.spotify.com/v1/tracks/3kkeQ4438JJmbvqsRLLCFp;https://api.spotify.com/v1/audio-analysis/3kkeQ4438JJmbvqsRLLCFp;144091;4
